,precision,recall,f1-score,support
Caminar,0.9662921348314607,0.9772727272727273,0.9717514124293786,528.0
Correr,0.9962476547842402,0.9654545454545455,0.9806094182825484,550.0
Quieto,0.9792663476874003,0.9967532467532467,0.9879324215607401,616.0
accuracy,0.9805194805194806,0.9805194805194806,0.9805194805194806,0.9805194805194806
macro avg,0.9806020457677004,0.9798268398268398,0.9800977507575558,1694.0
weighted avg,0.9807358485819256,0.9805194805194806,0.9805113916762275,1694.0
