model,baseline_acc_mean,baseline_f1_macro,reduced_acc_mean,reduced_f1_macro
SVM_RBF,0.9846517119244392,0.984398526485159,0.9604486422668241,0.9588719910956277
kNN_k5,0.9805194805194806,0.9800977507575558,0.9681227863046045,0.9667050164482327
