,precision,recall,f1-score,support
Caminar,0.9324817518248175,0.9678030303030303,0.949814126394052,528.0
Correr,0.9716446124763705,0.9345454545454546,0.9527340129749768,550.0
Quieto,0.9967585089141004,0.9983766233766234,0.9975669099756691,616.0
accuracy,0.9681227863046045,0.9681227863046045,0.9681227863046045,0.9681227863046045
macro avg,0.9669616244050961,0.9669083694083694,0.9667050164482327,1694.0
weighted avg,0.9685703325363597,0.9681227863046045,0.9681267900928624,1694.0
