,precision,recall,f1-score,support
Caminar,0.988394584139265,0.9678030303030303,0.9779904306220095,528.0
Correr,0.9872727272727273,0.9872727272727273,0.9872727272727273,550.0
Quieto,0.9792663476874003,0.9967532467532467,0.9879324215607401,616.0
accuracy,0.9846517119244392,0.9846517119244392,0.9846517119244392,0.9846517119244392
macro avg,0.9849778863664641,0.9839430014430014,0.984398526485159,1694.0
weighted avg,0.9847109861871136,0.9846517119244392,0.9846194327330797,1694.0
