,precision,recall,f1-score,support
Caminar,0.9183303085299456,0.9583333333333334,0.93790546802595,528.0
Correr,0.9805825242718447,0.9181818181818182,0.9483568075117371,550.0
Quieto,0.9808917197452229,1.0,0.9903536977491961,616.0
accuracy,0.9604486422668241,0.9604486422668241,0.9604486422668241,0.9604486422668241
macro avg,0.9599348508490045,0.9588383838383838,0.9588719910956277,1694.0
weighted avg,0.9612916709659877,0.9604486422668241,0.9603708436025158,1694.0
