Sujeto,Clase,archivo,start_idx,end_idx,Acceleration X(g)_mean,Acceleration X(g)_std,Acceleration X(g)_var,Acceleration X(g)_median,Acceleration X(g)_iqr,Acceleration X(g)_rms,Acceleration X(g)_ptp,Acceleration X(g)_sma
S01,Caminar,S01_Caminar_1_pipeline.csv,0,256,0.0355824316022623,0.003968577158244,1.5749604660936783e-05,0.0358253128157877,0.0050105563085413,0.0358030591345294,0.0184706348281418,0.0355824316022622
S01,Caminar,S01_Caminar_1_pipeline.csv,128,384,-0.010449167678997,0.259101552381356,0.0671336144464285,0.0353555582306642,0.0139508405099566,0.2593121662236702,1.7975820585403364,0.1437800901926264
S01,Caminar,S01_Caminar_1_pipeline.csv,256,512,-0.0567319873123858,0.3484069506572624,0.1213874032662921,0.0342583666404045,0.3506500732405841,0.3529956397049471,1.893372542016647,0.247476376324921
S01,Caminar,S01_Caminar_1_pipeline.csv,384,640,-0.0614338031895105,0.387663426675512,0.1502829323818001,0.0454704290459646,0.4118332361739052,0.392501012172106,2.4768054735102387,0.2764799661754061
S01,Caminar,S01_Caminar_1_pipeline.csv,512,768,-0.0215092259259842,0.3837422247490034,0.1472580950553146,0.0487878945075847,0.3158752418451011,0.3843445613707181,2.4768054735102387,0.2586376287408168
S01,Caminar,S01_Caminar_1_pipeline.csv,640,896,-0.0256118643904852,0.3400283282297647,0.1156192639987286,0.0485330561080839,0.2523653230827469,0.3409915418251386,2.01965192878935,0.2282238138544335
S01,Caminar,S01_Caminar_1_pipeline.csv,768,1024,-0.0661182776598593,0.4136783598655909,0.1711297854210853,0.0394472480029182,0.3534734704709648,0.4189288866404315,2.3239674945960287,0.2804334288414216
S01,Caminar,S01_Caminar_1_pipeline.csv,896,1152,-0.0355308947084033,0.4069326530645774,0.1655941841301757,0.0365278819043182,0.2425095838020269,0.4084808791228242,2.3239674945960287,0.2550648413555743
S01,Caminar,S01_Caminar_1_pipeline.csv,1024,1280,-0.0176311866680335,0.4212779698735757,0.1774751279008014,0.0406645338166859,0.2485467379630381,0.4216467557614127,2.638911151504065,0.261556955086904
S01,Caminar,S01_Caminar_1_pipeline.csv,1152,1408,-0.0609316395384593,0.4433836749288433,0.1965890831934061,0.0317088264652266,0.3558006999131999,0.4475508327444503,2.834764930593752,0.2950459402111682
S01,Caminar,S01_Caminar_1_pipeline.csv,1280,1536,-0.0542344727591415,0.3642172545828298,0.1326542085358538,0.0357591056020121,0.2729100101736886,0.3682330601281149,2.302350374797242,0.2329873364111193
S01,Caminar,S01_Caminar_1_pipeline.csv,1408,1664,0.0186658357633979,0.3818279408317715,0.1457925763998308,0.0622833734288278,0.2050394351173294,0.3822839125892913,2.0508541152165805,0.2539732472165124
S01,Caminar,S01_Caminar_1_pipeline.csv,1536,1792,0.0567135562715277,0.2968405674233592,0.0881143224682218,0.06871405989368,0.0354341171401178,0.3022097780237853,1.984411385179436,0.1872561132891187
S01,Caminar,S01_Caminar_1_pipeline.csv,1664,1920,0.0655854613175261,0.006148953305716,3.780962675587648e-05,0.0636133063938281,0.0051007558714792,0.0658730776796453,0.0323629546743135,0.0655854613175258
S01,Caminar,S01_Caminar_1_pipeline.csv,1792,2048,0.0630488794221992,0.0012578249986508,1.5821237272309362e-06,0.0630624800922664,0.0017583839148063,0.0630614249769401,0.008643530126206,0.063048879422199
S01,Caminar,S01_Caminar_1_pipeline.csv,1920,2176,0.0624928856263999,0.0011346258888692,1.287375907692378e-06,0.0621256867569292,0.0012465778360203,0.0625031849574243,0.0050462298784852,0.0624928856263997
S01,Caminar,S01_Caminar_1_pipeline.csv,2048,2304,0.0632658454271391,0.0014031533683674,1.9688393751609124e-06,0.0628642144293081,0.0018127773137426,0.0632814035636523,0.0055087465730367,0.0632658454271389
S01,Caminar,S01_Caminar_1_pipeline.csv,2176,2432,0.0629245323532319,0.0016850577200604,2.83941951993522e-06,0.0626209038622032,0.0025863195876025,0.0629470904124477,0.0064570651316459,0.0629245323532317
S01,Caminar,S01_Caminar_1_pipeline.csv,2304,2560,0.0620972454212495,0.0009110476787053,8.300078728744041e-07,0.0620316177275126,0.0009733911806624,0.0621039281912164,0.0044070220592605,0.0620972454212492
S01,Caminar,S01_Caminar_1_pipeline.csv,2432,2688,0.0621678997877713,0.0010413860372839,1.0844848786499057e-06,0.0620437329827282,0.001117990770188,0.0621766214014642,0.0048822946173405,0.062167899787771
S01,Caminar,S01_Caminar_1_pipeline.csv,2560,2816,0.0614874465993232,0.0008648190797158,7.479120406404925e-07,0.0615685041180024,0.0010610939562249,0.0614935281256919,0.0041019636259457,0.0614874465993229
S01,Caminar,S01_Caminar_1_pipeline.csv,2688,2944,0.0614414831764213,0.0006052649243083,3.663456285979484e-07,0.0616296577525043,0.0008433286627013,0.0614444643604862,0.0023998724303396,0.061441483176421
