Sujeto,Clase,archivo,start_idx,end_idx,Acceleration X(g)_mean,Acceleration X(g)_std,Acceleration X(g)_var,Acceleration X(g)_median,Acceleration X(g)_iqr,Acceleration X(g)_rms,Acceleration X(g)_ptp,Acceleration X(g)_sma,Acceleration X(g)_skew,Acceleration X(g)_kurtosis,Acceleration X(g)_zcr,Acceleration X(g)_dom_freq,Acceleration X(g)_spec_entropy,Acceleration X(g)_total_power,Acceleration Y(g)_mean,Acceleration Y(g)_std,Acceleration Y(g)_var,Acceleration Y(g)_median,Acceleration Y(g)_iqr,Acceleration Y(g)_rms,Acceleration Y(g)_ptp,Acceleration Y(g)_sma,Acceleration Y(g)_skew,Acceleration Y(g)_kurtosis,Acceleration Y(g)_zcr,Acceleration Y(g)_dom_freq,Acceleration Y(g)_spec_entropy,Acceleration Y(g)_total_power,Acceleration Z(g)_mean,Acceleration Z(g)_std,Acceleration Z(g)_var,Acceleration Z(g)_median,Acceleration Z(g)_iqr,Acceleration Z(g)_rms,Acceleration Z(g)_ptp,Acceleration Z(g)_sma,Acceleration Z(g)_skew,Acceleration Z(g)_kurtosis,Acceleration Z(g)_zcr,Acceleration Z(g)_dom_freq,Acceleration Z(g)_spec_entropy,Acceleration Z(g)_total_power,Angular velocity X(°/s)_mean,Angular velocity X(°/s)_std,Angular velocity X(°/s)_var,Angular velocity X(°/s)_median,Angular velocity X(°/s)_iqr,Angular velocity X(°/s)_rms,Angular velocity X(°/s)_ptp,Angular velocity X(°/s)_sma,Angular velocity X(°/s)_skew,Angular velocity X(°/s)_kurtosis,Angular velocity X(°/s)_zcr,Angular velocity X(°/s)_dom_freq,Angular velocity X(°/s)_spec_entropy,Angular velocity X(°/s)_total_power,Angular velocity Z(°/s)_mean,Angular velocity Z(°/s)_std,Angular velocity Z(°/s)_var,Angular velocity Z(°/s)_median,Angular velocity Z(°/s)_iqr,Angular velocity Z(°/s)_rms,Angular velocity Z(°/s)_ptp,Angular velocity Z(°/s)_sma,Angular velocity Z(°/s)_skew,Angular velocity Z(°/s)_kurtosis,Angular velocity Z(°/s)_zcr,Angular velocity Z(°/s)_dom_freq,Angular velocity Z(°/s)_spec_entropy,Angular velocity Z(°/s)_total_power,Angle X(°)_mean,Angle X(°)_std,Angle X(°)_var,Angle X(°)_median,Angle X(°)_iqr,Angle X(°)_rms,Angle X(°)_ptp,Angle X(°)_sma,Angle X(°)_skew,Angle X(°)_kurtosis,Angle X(°)_zcr,Angle X(°)_dom_freq,Angle X(°)_spec_entropy,Angle X(°)_total_power,Angle Y(°)_mean,Angle Y(°)_std,Angle Y(°)_var,Angle Y(°)_median,Angle Y(°)_iqr,Angle Y(°)_rms,Angle Y(°)_ptp,Angle Y(°)_sma,Angle Y(°)_skew,Angle Y(°)_kurtosis,Angle Y(°)_zcr,Angle Y(°)_dom_freq,Angle Y(°)_spec_entropy,Angle Y(°)_total_power,Angle Z(°)_mean,Angle Z(°)_std,Angle Z(°)_var,Angle Z(°)_median,Angle Z(°)_iqr,Angle Z(°)_rms,Angle Z(°)_ptp,Angle Z(°)_sma,Angle Z(°)_skew,Angle Z(°)_kurtosis,Angle Z(°)_zcr,Angle Z(°)_dom_freq,Angle Z(°)_spec_entropy,Angle Z(°)_total_power
S01,Caminar,S01_Caminar_1_pipeline.csv,0,256,0.0355824316022623,0.003968577158244,1.5749604660936783e-05,0.0358253128157877,0.0050105563085413,0.0358030591345294,0.0184706348281418,0.0355824316022622,0.1853236020652609,-0.3885912249807561,0.0,0.390625,2.257143875559166,1.97016506428422e-05,0.9972477013638272,0.0017257258850995,2.9781298305026576e-06,0.9971053283608656,0.0012903169301953,0.997249194537287,0.0121969978880854,0.9972477013638232,1.3569994058196704,4.719304281767299,0.0,2.734375,3.128663172769846,3.195931571846493e-06,0.1542327925997987,0.4465835914000318,0.1994369041077505,0.1894403940801454,0.3631231037591569,0.4724665685748391,3.8181292829049074,0.3293499623020276,-1.6037169398273707,8.54745864570038,0.0742187499999998,1.171875,3.1819517761796696,0.2373971779166717,0.1356279295742461,0.3573735062244371,0.1277158229511478,0.1642347102142461,0.3414452576403363,0.3822443697842317,2.849424835673372,0.280913666388035,-0.7042328625544306,4.004467904630897,0.0781249999999998,2.734375,3.114088814230262,0.1449064338487896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.1409429460053099,0.185853950999264,0.0345416911020368,0.2337075769361983,0.2795180422721011,0.2332522349961357,0.6801732885249387,0.2123619876328775,-0.8958312167108203,-0.6410508190029032,0.0078124999999999,0.390625,1.9222120864988732,0.0334361808822806,-104.16699688401675,0.1065636432991753,0.0113558100731938,-104.14028660494245,0.2394333803612767,104.16705139171806,0.297550814120413,104.16699688401634,-0.3447668107289001,-1.4815963456178312,0.0,0.390625,0.676771244361601,0.0046872240608719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
S01,Caminar,S01_Caminar_1_pipeline.csv,128,384,-0.010449167678997,0.259101552381356,0.0671336144464285,0.0353555582306642,0.0139508405099566,0.2593121662236702,1.7975820585403364,0.1437800901926264,-0.1284795341279412,4.142703843863995,0.0312499999999999,1.5625,2.742497005318348,0.0472296685907181,1.18800205981804,0.5905210064142538,0.3487150590165031,0.998170443219476,0.1160883950737188,1.3266740191729125,3.482594724112512,1.1903595125999935,1.7791739047515225,3.714365026990044,0.0078124999999999,3.515625,2.9972397215941826,0.2467319548917516,-24.286024101304733,170.95592545157945,29225.928447005997,0.0821427366145521,2.2610516830598355,172.67234698600456,923.0667127846064,94.44095850393556,-0.3487309623066251,1.289757940865341,0.0937499999999998,1.953125,2.7506250918427417,22773.786164406007,-12.62658773338959,109.87041776320788,12071.508699461829,0.0526153160576159,1.6861645306469075,110.59357764920536,597.3487810671584,58.1877025781175,-0.1800421882998417,1.7775691989711315,0.1015624999999997,2.34375,2.599320029545079,8258.40473312929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.225777515217325,10.872711745790712,118.21586070705531,0.0001961282007797,1.0880725250021392,11.098195630565462,55.59146304847944,6.042798975324304,0.8624911790275,1.47572371254408,0.0351562499999999,1.953125,2.283110302464809,87.62241206814375,-96.96669542502504,9.832493527759029,96.67792897342318,-104.15917733984472,14.339926811765965,97.4639315368665,35.22428581112888,96.96669542502468,1.019097808405267,-0.1806630544339014,0.0,0.390625,1.8402716294656385,90.33941027742492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
S01,Caminar,S01_Caminar_1_pipeline.csv,256,512,-0.0567319873123858,0.3484069506572624,0.1213874032662921,0.0342583666404045,0.3506500732405841,0.3529956397049471,1.893372542016647,0.247476376324921,-0.1474429893141449,0.6007318816050766,0.0624999999999998,3.515625,2.835429300850168,0.1378483894184748,1.4067019584930436,0.8074455345497231,0.6519682912642881,1.1282033674430556,0.7739033725515628,1.6219675370649231,3.631093280927814,1.409059411274996,0.8166564463428689,0.0855492050194373,0.0078124999999999,3.515625,2.4564769745954997,0.770664023329508,-29.65127024616908,256.4670828044956,65775.36456224801,14.959333934252673,430.8301702211866,258.1754488510853,964.2738088745232,202.6329174712124,0.0470079138414813,-0.8158317419908978,0.0507812499999998,1.953125,2.1426124822331665,73967.98275719017,-18.464916977944316,157.31819780945324,24749.01536201426,1.095631273450827,216.41457591364303,158.3981329467511,616.2617032855459,120.12753373843202,-0.0286982537500439,-0.7286608398009702,0.0820312499999998,1.953125,2.3272427539780653,28521.781917004224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4.668722241411275,14.401875872520897,207.41402864749955,2.478001863386905,20.11303902608565,15.139715849874722,55.59146304847944,11.66184329084656,0.1958466758079031,-0.8268746270997331,0.0429687499999999,1.953125,1.5939311331860897,229.88421251688533,-89.33524652728201,7.311219329514196,53.45392808426201,-90.11300821516186,7.695159805376093,89.63392326666572,35.22428581112888,89.33524652728165,0.0663903970837057,0.4627749501899161,0.0,1.953125,2.763497833888896,31.077206094580788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
S01,Caminar,S01_Caminar_1_pipeline.csv,384,640,-0.0614338031895105,0.387663426675512,0.1502829323818001,0.0454704290459646,0.4118332361739052,0.392501012172106,2.4768054735102387,0.2764799661754061,0.3416511310690671,1.9975957247601324,0.0546874999999998,1.5625,2.8388752537510906,0.1471859468164463,1.4257858374796697,0.8645259624579058,0.7474051397637683,1.1346219119897665,0.9201274092105376,1.6674142838902908,3.779031061259268,1.4357495094702704,0.6772056486523075,-0.0983886713261097,0.0156249999999999,3.90625,2.3445028933312857,0.7326975419247788,-13.80946032617686,272.68504363192187,74357.13302054313,22.002371826541257,456.6421776325602,273.0344927203216,969.4545149886262,217.06295128482955,0.0515440948524899,-0.8796681043032923,0.0351562499999999,2.734375,2.2164189397062404,67003.71697484123,-12.964988729156072,160.70777848644136,25826.990066047103,12.80169128504159,219.00846979107493,161.22990106923172,660.5527187102066,123.37576271353912,-0.2252520226943303,-0.6831224949144419,0.0664062499999998,2.734375,2.3833686701440344,22806.93017027271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5.636197168265251,13.372696414796724,178.82900940231718,2.7434506917390094,20.592167386028027,14.511916755614276,52.40922131987174,11.140746176113533,0.1343557077336328,-0.824365668767673,0.0312499999999999,1.171875,1.7483621288768163,180.6723646096576,-88.59917796256397,5.1426747185929,26.44710326125456,-90.91926925611502,6.340546111272417,88.74830386493782,24.28624078975457,88.59917796256362,1.1534215562819197,0.6215905623501792,0.0,1.171875,2.661656366673128,25.03883895148948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
S01,Caminar,S01_Caminar_1_pipeline.csv,512,768,-0.0215092259259842,0.3837422247490034,0.1472580950553146,0.0487878945075847,0.3158752418451011,0.3843445613707181,2.4768054735102387,0.2586376287408168,0.5149763233367738,2.516589690598596,0.0507812499999998,2.734375,2.748782958868469,0.1474136537172313,1.397403801022071,0.7932947779852262,0.6293166047786293,1.1309392124924704,0.8131480913394249,1.6068770917184554,3.7950628541745592,1.4130823385847442,0.6499715385229003,0.3988215053432311,0.0234374999999999,3.90625,2.4375837041315047,0.6172633232429237,25.358544344460327,261.69987134960854,68486.82266440167,27.322401039351465,268.8048075991697,262.92561388284645,1015.8401659216344,199.54884199127724,-0.0970483978975683,-0.5113870365685806,0.0312499999999999,2.734375,2.1871716105774808,68556.92231952996,6.17905588288919,154.69177356136206,23929.544807559712,19.521988294483336,93.56519738064964,154.81513343069398,747.2095782046167,111.61929166142652,-0.3357647572380163,-0.0545427148720949,0.0624999999999998,2.734375,2.3936348405524126,23459.24177650074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4.087480466731519,13.236808010464628,175.21308630590053,2.5186944176782644,15.05483933754774,13.85354044538118,56.64777833868225,10.254678289781689,-0.0074852549580086,-0.2337744657285108,0.0273437499999999,1.171875,1.8985453668571868,194.3883221243689,-89.14222544593565,5.187015349341495,26.90512823430427,-91.08709673918892,5.395312135064657,89.29300916470629,23.610937337801914,89.1422254459353,1.3235038416063454,0.9904211263109692,0.0,1.171875,2.55737485641813,35.56161833994276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
S01,Caminar,S01_Caminar_1_pipeline.csv,640,896,-0.0256118643904852,0.3400283282297647,0.1156192639987286,0.0485330561080839,0.2523653230827469,0.3409915418251386,2.01965192878935,0.2282238138544335,-0.2761813274582649,1.5728971695268772,0.0546874999999998,1.171875,2.6588311239605518,0.1330872013602164,1.335196865853559,0.7676010108993605,0.5892113119337201,1.0560323553035753,0.7056612311829145,1.5401175223075956,3.8915681638568,1.3470432769047898,0.8289283802490629,0.921903198020476,0.0234374999999999,3.90625,2.359068393490169,0.6548775867637631,10.010562347285031,257.21752500138695,66160.85516783911,24.88913821542821,266.2739702262572,257.41225014817763,1034.664030881308,193.75765516166,-0.2022318668507844,-0.4296372239962518,0.0273437499999999,2.734375,2.183293430225439,73653.41166283123,3.691619851452682,154.589067893614,23897.779912216403,16.551225081474364,97.267528174676,154.6331399453042,711.929335170719,110.67788414901456,-0.149018443798943,-0.0956442815082336,0.0585937499999998,2.734375,2.4665560822820485,26028.975068390653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.87612377164689,13.899189551207234,193.18747018038837,1.4102037836346843,12.847712896269696,14.193644990988773,56.266845422022485,10.45542692986875,0.045085895201685,-0.3324109248846802,0.0273437499999999,1.171875,1.8547188859484656,178.95911839833934,-89.29355327456332,6.002764882810015,36.03318623829714,-91.08982675020738,7.096381063082788,89.49509395847114,25.649234044425384,89.29355327456297,1.2092977557827873,0.6698074442447397,0.0,1.171875,2.560142121915853,32.67475683270586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
S01,Caminar,S01_Caminar_1_pipeline.csv,768,1024,-0.0661182776598593,0.4136783598655909,0.1711297854210853,0.0394472480029182,0.3534734704709648,0.4189288866404315,2.3239674945960287,0.2804334288414216,0.1613153915266899,1.3220301771558782,0.0507812499999998,2.734375,2.609521169730284,0.1296972527482209,1.32497969609429,0.807174148800573,0.6515301064919297,1.06272767953439,0.8010138328742107,1.5514835808199994,3.788290547159546,1.3368614208313776,0.6738712263241262,0.4053351824263416,0.0312499999999999,3.90625,2.346035559619549,0.5280144961927407,-34.510345188546154,274.02601982768897,75090.25954260498,16.508925475316143,454.2643561292731,276.19055644181174,1027.2892051032788,216.65116398579744,-0.020686919944903,-0.8591786553147869,0.0273437499999999,2.734375,2.106786744925249,71440.42843445328,-13.29885424352979,163.6100598683058,26768.25169011061,10.88967461837738,203.75166062311047,164.1496610240218,741.2301781494617,122.8669262734578,0.0998965492931634,-0.4032987519041362,0.0429687499999999,2.734375,2.553305378841184,25430.098771864483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5.608378348782978,13.642449655184524,186.11643259424437,2.7997170057007,18.776457386106557,14.750265770396885,53.46452029734056,10.979187474463982,0.0845985792583412,-0.6181714258430384,0.0273437499999999,1.171875,1.821910902846461,175.68801916270718,-87.74680445407827,6.564114839972928,43.08760363235282,-90.26157362049848,9.21649661241736,87.99198426865145,25.649234044425384,87.74680445407792,0.851498220879868,-0.2542690665013438,0.0,1.171875,2.1194137229598256,46.98343424712646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
S01,Caminar,S01_Caminar_1_pipeline.csv,896,1152,-0.0355308947084033,0.4069326530645774,0.1655941841301757,0.0365278819043182,0.2425095838020269,0.4084808791228242,2.3239674945960287,0.2550648413555743,0.3653705751767811,2.1239493327090813,0.0507812499999998,2.734375,2.5704720552335267,0.1719338192263301,1.3243631442113264,0.691939813689305,0.4787807057683901,1.135421619146443,0.6829962390169256,1.4942283772950171,3.6252425644178894,1.3336515308738663,0.6700881533563969,0.968260011878288,0.0234374999999999,3.90625,2.291692062306609,0.4340366793291377,13.856354867475511,263.47918292006625,69421.27983222574,23.51366912606363,289.74108297031785,263.84328379255584,1027.2892051032788,199.33511875219935,-0.1426814494918997,-0.5179273351928977,0.0234374999999999,2.734375,2.111783488558616,71394.67993124347,7.679447376567017,157.5093069502905,24809.181775960824,13.157140899158344,123.69764103098991,157.69640353530667,741.2301781494617,112.88188229160092,-0.0466937496587166,-0.1863601384059467,0.0546874999999998,2.734375,2.4679742211401026,27164.260496857278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4.849998770255376,12.182374651910894,148.41025215952106,2.6798834848568145,13.06963103990332,13.112312543216769,52.840311905294456,9.368644742610185,0.1334119976673289,-0.1643170459346663,0.0234374999999999,1.171875,1.9196414720839337,175.22660423474844,-88.03406462760466,5.09993485909795,26.009335567042434,-90.15899306871026,5.6273717689811775,88.18166402616994,21.94085641914714,88.03406462760431,1.4728685377268818,1.4578357683728012,0.0,1.171875,2.4817374368153784,20.82813686956132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
S01,Caminar,S01_Caminar_1_pipeline.csv,1024,1280,-0.0176311866680335,0.4212779698735757,0.1774751279008014,0.0406645338166859,0.2485467379630381,0.4216467557614127,2.638911151504065,0.261556955086904,0.8104448135033224,3.299774206221332,0.0468749999999999,2.734375,2.513865161282271,0.1728463180879498,1.346110369631095,0.7246377749434665,0.525099904875018,1.086665712287885,0.6913323646748295,1.528761927869536,3.626749290908904,1.3535913450175872,0.8045459186089673,0.6243483156790623,0.0156249999999999,3.90625,2.1911730641508527,0.4829384173391338,7.392771009155233,248.6509508749968,61827.29537104008,22.263945673413254,265.129320252439,248.76082576288792,994.3411774657568,187.1818449306869,-0.1573564583789596,-0.4951086893916891,0.0273437499999999,2.734375,2.089337680065837,65055.28368165307,3.2523246918724382,151.94862594715028,23088.384927226987,11.535787141502375,111.68494058884224,151.98342851484944,665.3584869705456,108.96198517852146,-0.1568366911095846,-0.2727909761370166,0.0664062499999998,2.734375,2.3406230095905003,22826.73762430443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4.058293633343632,12.998632026517804,168.96443456081434,1.3500221409610207,12.736101064771436,13.617421994461791,53.26735939283373,9.689927350052397,0.1643409400607647,-0.3351448357726867,0.0273437499999999,1.171875,1.850088254479923,163.86085178588274,-89.10026826138159,5.78648653176683,33.48342638231891,-90.72204329984535,5.845580408411678,89.28796800595522,27.191828371098907,89.10026826138123,1.2517226375588884,1.179856476540614,0.0,1.171875,2.4489845738492546,31.96596318528951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
S01,Caminar,S01_Caminar_1_pipeline.csv,1152,1408,-0.0609316395384593,0.4433836749288433,0.1965890831934061,0.0317088264652266,0.3558006999131999,0.4475508327444503,2.834764930593752,0.2950459402111682,0.5920728812671398,2.4690763964838984,0.0351562499999999,2.734375,2.8230428601769195,0.2008312791659688,1.3590122988171027,0.7936069244725001,0.6298119505707005,1.0911296076303232,0.8180868306312331,1.5737618558431408,3.558314789062388,1.3716016500888006,0.501223807196706,-0.1190126151187733,0.0234374999999999,2.734375,2.284713785952565,0.6405535831670213,-25.172830782338234,255.31463374700397,65185.56220536676,14.9192603584879,403.65059357584727,256.55259424718935,945.679987735128,200.11844848326157,-0.0165972146421235,-0.8536253392951032,0.0273437499999999,2.734375,2.054610851090014,62853.68085298687,-10.762091491873797,146.6716171634252,21512.56328133436,14.0485874288365,189.3594916213968,147.06592363499377,604.501671933824,112.30832798764924,-0.0328334038884228,-0.5973096146954999,0.0507812499999998,2.734375,2.483893834570175,21126.51403457159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,7.141651276737939,13.459769281091688,181.16538910021947,4.111142843154746,18.61761039412942,15.237078855829033,54.37192366429619,11.5037949941339,0.1124194605505638,-0.7099344538418606,0.0273437499999999,1.171875,1.7734400104106105,185.2097222157601,-88.58869838739012,6.144015331714095,37.748924396337856,-89.84091361545815,7.819164312951685,88.80150002318832,27.191828371098907,88.58869838738977,0.8868760006822628,0.0702389384220114,0.0,1.171875,2.156168048114242,36.27674142669962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
