ime,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
23:46:47.393,eb:33:2e:f9:57:b5,,-1.01709,-0.09375,0.063965,,,0.061035,,,,,,,-54.3549,82.6831,19.5996
23:46:47.425,eb:33:2e:f9:57:b5,,-1.01758,-0.091797,0.066406,,,0.061035,,,,,,,-54.3549,82.6831,19.6051
23:46:47.457,eb:33:2e:f9:57:b5,,-1.01562,-0.092773,0.065918,,,0.183105,,,,,,,-54.3384,82.6831,19.6216
23:46:47.526,eb:33:2e:f9:57:b5,,-1.01807,-0.092285,0.063477,,,0.12207,,,,,,,-54.3329,82.6831,19.6326
23:46:47.552,eb:33:2e:f9:57:b5,,-1.01562,-0.092773,0.064453,,0.061035,0.061035,,,,,,,-54.3384,82.6831,19.6271
23:46:47.570,eb:33:2e:f9:57:b5,,-1.01562,-0.09375,0.068359,,,0.183105,,,,,,,-54.3384,82.6831,19.6326
23:46:47.632,eb:33:2e:f9:57:b5,,-1.0166,-0.093262,0.061523,,,0.061035,,,,,,,-54.3274,82.6831,19.649
23:46:47.663,eb:33:2e:f9:57:b5,,-1.01709,-0.092285,0.06543,,,0.12207,,,,,,,-54.3384,82.6886,19.6436
23:46:47.695,eb:33:2e:f9:57:b5,,-1.01562,-0.092285,0.068848,,,0.183105,,,,,,,-54.3274,82.6886,19.66
23:46:47.760,eb:33:2e:f9:57:b5,,-1.01562,-0.094238,0.062012,,,0.12207,,,,,,,-54.3109,82.6886,19.6765
23:46:47.792,eb:33:2e:f9:57:b5,,-1.01758,-0.092773,0.063965,,,0.12207,,,,,,,-54.3164,82.6886,19.6765
23:46:47.876,eb:33:2e:f9:57:b5,,-1.01611,-0.092285,0.067383,,,0.061035,,,,,,,-54.3164,82.6886,19.6765
23:46:47.904,eb:33:2e:f9:57:b5,,-1.01514,-0.09375,0.065918,,,,,,,,,,-54.3054,82.6886,19.693
23:46:47.919,eb:33:2e:f9:57:b5,,-1.0166,-0.093262,0.064941,,,0.12207,,,,,,,-54.2944,82.6886,19.704
23:46:47.941,eb:33:2e:f9:57:b5,,-1.01709,-0.09375,0.063965,,,0.12207,,,,,,,-54.2999,82.6886,19.704
23:46:47.999,eb:33:2e:f9:57:b5,,-1.01514,-0.093262,0.067871,,,0.12207,,,,,,,-54.2999,82.6886,19.704
23:46:48.047,eb:33:2e:f9:57:b5,,-1.01807,-0.092285,0.064453,,,0.183105,,,,,,,-54.2889,82.6886,19.715
23:46:48.063,eb:33:2e:f9:57:b5,,-1.01611,-0.094238,0.060547,,,0.12207,,,,,,,-54.2944,82.6886,19.715
23:46:48.110,eb:33:2e:f9:57:b5,,-1.01856,-0.092285,0.069336,,,0.12207,,,,,,,-54.3109,82.6886,19.6985
23:46:48.142,eb:33:2e:f9:57:b5,,-1.01562,-0.092773,0.065918,,,0.183105,,,,,,,-54.2999,82.6886,19.715
23:46:48.206,eb:33:2e:f9:57:b5,,-1.01709,-0.092773,0.062012,,,0.183105,,,,,,,-54.2944,82.6886,19.7205
23:46:48.238,eb:33:2e:f9:57:b5,,-1.01562,-0.093262,0.065918,,,0.183105,,,,,,,-54.2999,82.6886,19.7205
23:46:48.272,eb:33:2e:f9:57:b5,,-1.0166,-0.093262,0.067871,,0.061035,0.183105,,,,,,,-54.2999,82.6886,19.7205
23:46:48.333,eb:33:2e:f9:57:b5,,-1.01465,-0.09375,0.062988,,,0.183105,,,,,,,-54.2889,82.6886,19.7314
23:46:48.348,eb:33:2e:f9:57:b5,,-1.01709,-0.092773,0.063965,,,0.183105,,,,,,,-54.2944,82.6886,19.7314
23:46:48.380,eb:33:2e:f9:57:b5,,-1.01709,-0.092285,0.067383,,,0.12207,,,,,,,-54.2944,82.6886,19.7314
23:46:48.444,eb:33:2e:f9:57:b5,,-1.01514,-0.093262,0.064453,,,0.12207,,,,,,,-54.2834,82.6886,19.7424
23:46:48.476,eb:33:2e:f9:57:b5,,-1.01709,-0.092773,0.063477,,,0.183105,,,,,,,-54.2834,82.6886,19.7479
23:46:48.507,eb:33:2e:f9:57:b5,,-1.0166,-0.092285,0.065918,,,0.12207,,,,,,,-54.2889,82.6886,19.7424
23:46:48.587,eb:33:2e:f9:57:b5,,-1.01709,-0.092285,0.06543,,,0.183105,,,,,,,-54.2834,82.6886,19.7479
23:46:48.616,eb:33:2e:f9:57:b5,,-1.01465,-0.094238,0.063965,,,0.244141,,,,,,,-54.2834,82.6886,19.7534
23:46:48.633,eb:33:2e:f9:57:b5,,-1.01611,-0.092285,0.066406,-0.061035,0.061035,0.061035,,,,,,,-54.2889,82.6886,19.7534
23:46:48.715,eb:33:2e:f9:57:b5,,-1.01953,-0.092285,0.067871,,0.061035,0.12207,,,,,,,-54.2834,82.6886,19.7534
23:46:48.731,eb:33:2e:f9:57:b5,,-1.02295,-0.092285,0.065918,,0.183105,,,,,,,,-54.267,82.6886,19.7754
23:46:48.747,eb:33:2e:f9:57:b5,,-1.00977,-0.100098,0.055176,,0.12207,0.061035,,,,,,,-54.2725,82.6941,19.7699
23:46:48.842,eb:33:2e:f9:57:b5,,-1.01269,-0.092285,0.071289,,0.12207,-0.061035,,,,,,,-54.3054,82.6941,19.7424
23:46:48.842,eb:33:2e:f9:57:b5,,-1.02148,-0.089355,0.062988,,0.061035,0.061035,,,,,,,-54.2944,82.6941,19.7534
23:46:48.858,eb:33:2e:f9:57:b5,,-1.01514,-0.09375,0.063965,,,0.244141,,,,,,,-54.2944,82.6941,19.7534
23:46:48.922,eb:33:2e:f9:57:b5,,-1.0166,-0.092285,0.070312,,,0.12207,,,,,,,-54.2944,82.6941,19.7534
23:46:48.954,eb:33:2e:f9:57:b5,,-1.01709,-0.093262,0.061035,,,0.12207,,,,,,,-54.2889,82.6886,19.7589
23:46:48.986,eb:33:2e:f9:57:b5,,-1.01367,-0.09375,0.060547,,,0.061035,,,,,,,-54.2999,82.6941,19.7479
23:46:49.050,eb:33:2e:f9:57:b5,,-1.0166,-0.092285,0.068848,,,0.061035,,,,,,,-54.3164,82.6941,19.7369
23:46:49.082,eb:33:2e:f9:57:b5,,-1.01514,-0.092773,0.067383,,,0.12207,,,,,,,-54.3054,82.6941,19.7479
23:46:49.100,eb:33:2e:f9:57:b5,,-1.01807,-0.094727,0.061523,,,0.244141,,,,,,,-54.2944,82.6886,19.7534
23:46:49.162,eb:33:2e:f9:57:b5,,-1.01269,-0.095215,0.061035,,,0.12207,,,,,,,-54.3109,82.6941,19.7424
23:46:49.193,eb:33:2e:f9:57:b5,,-1.01416,-0.09375,0.066895,,,0.183105,,,,,,,-54.3274,82.6941,19.726
23:46:49.225,eb:33:2e:f9:57:b5,,-1.01709,-0.092285,0.069336,,-0.061035,0.244141,,,,,,,-54.3219,82.6941,19.7314
23:46:49.292,eb:33:2e:f9:57:b5,,-1.01416,-0.093262,0.065918,,-0.12207,0.366211,,,,,,,-54.3109,82.6886,19.7424
23:46:49.321,eb:33:2e:f9:57:b5,,-1.02295,-0.091309,0.061523,,,0.183105,,,,,,,-54.3054,82.6886,19.7534
23:46:49.353,eb:33:2e:f9:57:b5,,-1.01367,-0.095215,0.062988,,-0.061035,0.244141,,,,,,,-54.3109,82.6941,19.7424
23:46:49.405,eb:33:2e:f9:57:b5,,-1.01367,-0.092773,0.068848,,-0.061035,0.183105,,,,,,,-54.3219,82.6941,19.7369
23:46:49.434,eb:33:2e:f9:57:b5,,-1.01904,-0.091309,0.069336,,,0.12207,,,,,,,-54.3054,82.6941,19.7534
23:46:49.464,eb:33:2e:f9:57:b5,,-1.01514,-0.094238,0.057129,,,0.061035,,,,,,,-54.2999,82.6941,19.7644
23:46:49.533,eb:33:2e:f9:57:b5,,-1.01904,-0.09082,0.069336,,,0.183105,,,,,,,-54.3109,82.6941,19.7479
23:46:49.565,eb:33:2e:f9:57:b5,,-1.0166,-0.092285,0.066406,,,0.183105,,,,,,,-54.2999,82.6941,19.7589
23:46:49.590,eb:33:2e:f9:57:b5,,-1.01758,-0.09375,0.061523,,,0.183105,,,,,,,-54.2999,82.6941,19.7644
23:46:49.640,eb:33:2e:f9:57:b5,,-1.01416,-0.094238,0.067383,,,0.12207,,,,,,,-54.3054,82.6941,19.7589
23:46:49.673,eb:33:2e:f9:57:b5,,-1.01709,-0.091309,0.067871,,,0.244141,,,,,,,-54.2999,82.6941,19.7644
23:46:49.741,eb:33:2e:f9:57:b5,,-1.01807,-0.092773,0.062012,,,0.12207,,,,,,,-54.2889,82.6941,19.7754
23:46:49.774,eb:33:2e:f9:57:b5,,-1.01709,-0.09375,0.064453,,,0.183105,,,,,,,-54.2944,82.6941,19.7699
23:46:49.812,eb:33:2e:f9:57:b5,,-1.0166,-0.093262,0.067383,,,0.12207,,,,,,,-54.2999,82.6941,19.7699
23:46:49.863,eb:33:2e:f9:57:b5,,-1.0166,-0.092773,0.063965,,,0.12207,,,,,,,-54.2889,82.6941,19.7809
23:46:49.900,eb:33:2e:f9:57:b5,,-1.01562,-0.09375,0.063965,,-0.061035,0.12207,,,,,,,-54.2944,82.6941,19.7754
23:46:49.957,eb:33:2e:f9:57:b5,,-1.01758,-0.093262,0.066895,,,0.061035,,,,,,,-54.2944,82.6941,19.7754
23:46:50.007,eb:33:2e:f9:57:b5,,-1.0166,-0.092285,0.0625,,,0.12207,,,,,,,-54.2944,82.6941,19.7809
23:46:50.023,eb:33:2e:f9:57:b5,,-1.01807,-0.091797,0.070312,,,0.12207,,,,,,,-54.2889,82.6941,19.7864
23:46:50.057,eb:33:2e:f9:57:b5,,-1.01758,-0.092285,0.059082,,,0.244141,,,,,,,-54.278,82.6941,19.7919
23:46:50.090,eb:33:2e:f9:57:b5,,-1.01611,-0.093262,0.06543,,,0.183105,,,,,,,-54.2889,82.6941,19.7864
23:46:50.123,eb:33:2e:f9:57:b5,,-1.01611,-0.092285,0.068848,,,0.061035,,,,,,,-54.2889,82.6941,19.7864
23:46:50.156,eb:33:2e:f9:57:b5,,-1.01367,-0.09375,0.062012,,,0.183105,,,,,,,-54.278,82.6941,19.7974
23:46:50.224,eb:33:2e:f9:57:b5,,-1.01953,-0.092773,0.06543,,,0.061035,,,,,,,-54.2834,82.6941,19.7919
23:46:50.240,eb:33:2e:f9:57:b5,,-1.01611,-0.09375,0.066895,,,0.12207,,,,,,,-54.278,82.6941,19.7974
23:46:50.273,eb:33:2e:f9:57:b5,,-1.0166,-0.09375,0.063965,,,0.183105,,,,,,,-54.278,82.6941,19.8029
23:46:50.340,eb:33:2e:f9:57:b5,,-1.01611,-0.092285,0.064453,,,0.12207,,,,,,,-54.278,82.6941,19.8029
23:46:50.424,eb:33:2e:f9:57:b5,,-1.01856,-0.091797,0.06543,,,0.183105,,,,,,,-54.278,82.6941,19.8029
23:46:50.440,eb:33:2e:f9:57:b5,,-1.01465,-0.093262,0.065918,,,0.12207,,,,,,,-54.2725,82.6941,19.8084
23:46:50.455,eb:33:2e:f9:57:b5,,-1.01758,-0.092285,0.06543,,,0.183105,,,,,,,-54.267,82.6941,19.8138
23:46:50.490,eb:33:2e:f9:57:b5,,-1.01465,-0.092773,0.064941,,,0.183105,,,,,,,-54.2615,82.6941,19.8193
23:46:50.523,eb:33:2e:f9:57:b5,,-1.01904,-0.089844,0.066406,,,0.12207,,,,,,,-54.2615,82.6941,19.8193
23:46:50.607,eb:33:2e:f9:57:b5,,-1.01856,-0.093262,0.064453,,,0.12207,,,,,,,-54.256,82.6941,19.8248
23:46:50.623,eb:33:2e:f9:57:b5,,-1,-0.099121,0.064453,,,,,,,,,,-54.2505,82.6941,19.8358
23:46:50.640,eb:33:2e:f9:57:b5,,-1.02393,-0.089355,0.067383,,,0.244141,,,,,,,-54.2615,82.6941,19.8248
23:46:50.723,eb:33:2e:f9:57:b5,,-1.01269,-0.095703,0.064941,,,0.12207,,,,,,,-54.2505,82.6941,19.8358
23:46:50.741,eb:33:2e:f9:57:b5,,-1.02002,-0.092773,0.066406,,,0.061035,,,,,,,-54.245,82.6941,19.8413
23:46:50.757,eb:33:2e:f9:57:b5,,-1.01807,-0.093262,0.062012,,,0.12207,,,,,,,-54.245,82.6941,19.8413
23:46:50.823,eb:33:2e:f9:57:b5,,-1.01807,-0.091797,0.06543,,,0.061035,,,,,,,-54.2505,82.6941,19.8358
23:46:50.838,eb:33:2e:f9:57:b5,,-1.01758,-0.092285,0.069824,,,0.183105,,,,,,,-54.2505,82.6941,19.8413
23:46:50.870,eb:33:2e:f9:57:b5,,-1.01514,-0.092773,0.06543,,0.061035,0.12207,,,,,,,-54.234,82.6941,19.8578
23:46:50.938,eb:33:2e:f9:57:b5,,-1.01758,-0.091797,0.060547,,,0.12207,,,,,,,-54.234,82.6941,19.8578
23:46:50.998,eb:33:2e:f9:57:b5,,-1.01611,-0.092285,0.066406,,,0.12207,,,,,,,-54.245,82.6996,19.8468
23:46:51.014,eb:33:2e:f9:57:b5,,-1.01465,-0.092285,0.068359,,,0.183105,,,,,,,-54.2395,82.6941,19.8523
23:46:51.062,eb:33:2e:f9:57:b5,,-1.01709,-0.093262,0.061523,,,0.12207,,,,,,,-54.2285,82.6941,19.8633
23:46:51.078,eb:33:2e:f9:57:b5,,-1.01611,-0.092773,0.065918,,,0.183105,,,,,,,-54.2395,82.6996,19.8578
23:46:51.145,eb:33:2e:f9:57:b5,,-1.01611,-0.092773,0.067871,,,0.183105,,,,,,,-54.234,82.6996,19.8578
23:46:51.173,eb:33:2e:f9:57:b5,,-1.0166,-0.093262,0.062988,,,0.061035,,,,,,,-54.2285,82.6941,19.8688
23:46:51.205,eb:33:2e:f9:57:b5,,-1.01709,-0.092773,0.064453,,,0.12207,,,,,,,-54.2285,82.6996,19.8633
23:46:51.271,eb:33:2e:f9:57:b5,,-1.01758,-0.09082,0.067383,,,0.12207,,,,,,,-54.2285,82.6996,19.8633
23:46:51.302,eb:33:2e:f9:57:b5,,-1.01611,-0.093262,0.064941,,,0.183105,,,,,,,-54.223,82.6996,19.8743
23:46:51.332,eb:33:2e:f9:57:b5,,-1.01709,-0.092285,0.063477,,,0.12207,,,,,,,-54.223,82.6996,19.8743
