ime,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(�/s),Angular velocity Y(�/s),Angular velocity Z(�/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(�),Angle Y(�),Angle Z(�)
01:22:11.582,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981934,,,-0.183105,,,,,,,-3.97156,-7.7948,-125.217
01:22:11.614,eb:33:2e:f9:57:b5,,0.119141,-0.080566,0.982422,,,-0.183105,,,,,,,-3.97156,-7.7948,-125.217
01:22:11.657,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.982422,,,-0.244141,,,,,,,-3.97156,-7.7948,-125.217
01:22:11.687,eb:33:2e:f9:57:b5,,0.118652,-0.079102,0.981445,,,-0.244141,,,,,,,-3.97156,-7.7948,-125.217
01:22:11.729,eb:33:2e:f9:57:b5,,0.118652,-0.079102,0.981445,,,-0.244141,,,,,,,-3.97156,-7.7948,-125.217
01:22:11.799,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.983398,,,-0.244141,,,,,,,-3.97156,-7.7948,-125.217
01:22:11.836,eb:33:2e:f9:57:b5,,0.118164,-0.080566,0.981445,,,-0.12207,,,,,,,-3.97156,-7.7948,-125.217
01:22:11.846,eb:33:2e:f9:57:b5,,0.118164,-0.081055,0.981445,,,-0.183105,,,,,,,-3.97156,-7.7948,-125.222
01:22:12.028,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.98291,,0.061035,-0.183105,,,,,,,-3.97156,-7.7948,-125.222
01:22:12.032,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.981934,,,-0.244141,,,,,,,-3.97156,-7.7948,-125.222
01:22:12.037,eb:33:2e:f9:57:b5,,0.118164,-0.080078,0.982422,,,-0.183105,,,,,,,-3.97156,-7.7948,-125.222
01:22:12.053,eb:33:2e:f9:57:b5,,0.118652,-0.078613,0.981934,,,-0.244141,,,,,,,-3.97156,-7.7948,-125.222
01:22:12.085,eb:33:2e:f9:57:b5,,0.118164,-0.080078,0.981934,,,-0.183105,,,,,,,-3.97156,-7.7948,-125.222
01:22:12.113,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.982422,,,-0.12207,,,,,,,-3.97156,-7.7948,-125.222
01:22:12.151,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981445,-0.061035,0.061035,-0.305176,,,,,,,-3.97156,-7.7948,-125.222
01:22:12.185,eb:33:2e:f9:57:b5,,0.118164,-0.080078,0.981445,-0.061035,,-0.183105,,,,,,,-3.97156,-7.7948,-125.222
01:22:12.229,eb:33:2e:f9:57:b5,,0.120117,-0.07959,0.981934,,,-0.244141,,,,,,,-3.97156,-7.7948,-125.222
01:22:12.261,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981934,,,-0.244141,,,,,,,-3.97156,-7.7948,-125.222
01:22:12.290,eb:33:2e:f9:57:b5,,0.118652,-0.081055,0.982422,,,-0.244141,,,,,,,-3.97156,-7.7948,-125.222
01:22:12.322,eb:33:2e:f9:57:b5,,0.119629,-0.080078,0.981934,,,-0.183105,,,,,,,-3.97156,-7.7948,-125.228
01:22:12.377,eb:33:2e:f9:57:b5,,0.118652,-0.080566,0.982422,,,-0.244141,,,,,,,-3.97156,-7.7948,-125.228
01:22:12.433,eb:33:2e:f9:57:b5,,0.117676,-0.080078,0.981934,,,-0.244141,,,,,,,-3.97156,-7.7948,-125.228
01:22:12.449,eb:33:2e:f9:57:b5,,0.118164,-0.080078,0.981934,,,-0.183105,,,,,,,-3.97156,-7.7948,-125.228
01:22:12.498,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.98291,,0.061035,-0.183105,,,,,,,-3.97156,-7.7948,-125.228
01:22:12.529,eb:33:2e:f9:57:b5,,0.118164,-0.080078,0.981934,,0.061035,-0.244141,,,,,,,-3.97156,-7.7948,-125.228
01:22:12.560,eb:33:2e:f9:57:b5,,0.118164,-0.080078,0.982422,,,-0.244141,,,,,,,-3.97156,-7.7948,-125.228
01:22:12.609,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.982422,-0.061035,,-0.183105,,,,,,,-3.97156,-7.7948,-125.228
01:22:12.654,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.982422,,,-0.183105,,,,,,,-3.96606,-7.78931,-125.228
01:22:12.705,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.982422,,,-0.244141,,,,,,,-3.96606,-7.78931,-125.228
01:22:12.736,eb:33:2e:f9:57:b5,,0.118652,-0.080566,0.982422,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.228
01:22:12.767,eb:33:2e:f9:57:b5,,0.119629,-0.080078,0.981934,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.228
01:22:12.822,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.981934,,,-0.12207,,,,,,,-3.96606,-7.7948,-125.228
01:22:12.881,eb:33:2e:f9:57:b5,,0.119141,-0.081055,0.982422,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.228
01:22:12.913,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981934,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.228
01:22:12.947,eb:33:2e:f9:57:b5,,0.118164,-0.07959,0.982422,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.228
01:22:13.006,eb:33:2e:f9:57:b5,,0.118652,-0.079102,0.980957,,0.061035,-0.183105,,,,,,,-3.96606,-7.7948,-125.228
01:22:13.036,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.98291,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.228
01:22:13.069,eb:33:2e:f9:57:b5,,0.119141,-0.081055,0.981934,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.228
01:22:13.126,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981934,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.233
